"","salary","to_messages","deferral_payments","total_payments","exercised_stock_options","bonus","restricted_stock","shared_receipt_with_poi","restricted_stock_deferred","total_stock_value","expenses","loan_advances","from_messages","other","from_this_person_to_poi","director_fees","deferred_income","long_term_incentive","from_poi_to_this_person"
"1",365788,807,0,1061827,0,6e+05,585062,702,0,585062,94299,0,29,1740,1,0,0,0,38
"2",267102,0,1295738,5634343,6680544,1200000,3942714,0,0,10623258,11200,0,0,2660303,0,0,-1386055,1586055,0
"3",170941,0,0,211725,4890344,350000,1788391,0,0,6678735,78552,0,0,12961,0,0,-400729,0,0
"4",0,764,0,0,651850,0,386335,58,0,1038185,0,0,12,0,0,0,0,0,10
"5",243293,1045,0,288682,5538001,1500000,853064,1035,0,6391065,34039,0,32,11350,21,0,-3117011,1617011,32
"6",267093,0,0,628522,0,325000,208510,0,0,208510,35018,0,0,1411,0,0,0,0,0
"7",0,232,1848227,1848227,493489,0,462384,22,0,955873,0,0,28,0,0,0,0,0,0
"8",370448,2355,0,4099771,1104054,2600000,558801,2228,0,1662855,137108,0,48,297353,26,0,0,694862,58
"9",0,2350,3131860,3131860,5210569,0,2046079,1074,0,7256648,0,0,1073,0,15,0,0,0,44
"10",197091,1238,1130036,1737629,880290,4e+05,409554,742,-409554,880290,43057,0,222,778,48,0,-33333,0,61
"11",130724,128,2964506,3100224,2282768,0,0,119,0,2282768,4994,0,17,0,17,0,0,0,10
"12",288589,111,0,1130461,0,788750,0,41,0,0,53122,0,18,0,0,0,0,0,12
"13",248546,2475,0,2014835,765313,850000,189041,2326,0,954354,84208,0,14,272,2,0,0,831809,25
"14",257486,2647,0,1545059,0,7e+05,698920,2565,0,698920,0,0,38,111122,13,0,0,476451,37
"15",0,169,504610,966522,2218275,0,0,23,0,2218275,0,0,12,0,0,0,0,461912,0
"16",0,0,0,0,372205,0,153686,0,-153686,372205,0,0,0,0,0,0,0,0,0
"17",288542,1758,27610,1490344,0,1200000,698242,1132,0,698242,16514,0,40,101740,11,0,-144062,0,240
"18",251654,136,842924,3202070,1056320,1100000,360528,114,0,1416848,0,0,16,947,0,0,-719000,1725545,12
"19",288558,258,0,551174,185063,250000,540672,117,0,725735,10181,0,56,2435,19,0,0,0,25
"20",63744,0,0,762135,0,0,384930,0,0,384930,51870,0,0,401130,0,0,-10800,256191,0
"21",0,0,53625,87410,1030329,0,0,0,0,1030329,33785,0,0,0,0,0,0,0,0
"22",357091,671,0,1798780,4346544,850000,1552453,215,0,5898997,50936,0,146,2,0,0,0,540751,17
"23",271442,8305,0,3471141,81042,3100000,466101,3669,0,547143,5774,0,1728,93925,194,0,0,0,251
"24",0,0,0,0,0,0,32460,0,-32460,0,0,0,0,0,0,98784,-98784,0,0
"25",0,0,-102500,102500,3285,0,0,0,44093,-44093,0,0,0,0,0,3285,0,0,0
"26",304110,3221,0,3038702,1441898,2e+06,630137,1730,0,2072035,178979,0,2681,1191,83,0,0,554422,94
"27",0,0,0,189583,0,0,0,0,0,0,0,0,0,189583,0,0,0,0,0
"28",187922,383,0,618850,0,250000,659249,233,0,659249,59175,0,59,427316,0,0,-485813,180250,4
"29",0,0,0,228656,0,0,0,0,0,0,228656,0,0,0,0,36666,-36666,0,0
"30",213625,1607,0,2047593,1465734,1e+06,378082,1336,0,1843816,38559,0,40,425688,8,0,0,369721,23
"31",249201,1328,214678,1099100,1635238,7e+05,283649,1258,0,1918887,33271,0,82,1950,48,0,-1e+05,0,35
"32",0,0,0,0,98718,0,0,0,0,98718,0,0,0,0,0,0,0,0,0
"33",231330,7315,0,969068,0,7e+05,126027,2639,0,126027,37172,0,4343,566,386,0,0,0,144
"34",0,573,0,475,0,0,2217299,471,0,2217299,475,0,19,0,7,0,0,0,4
"35",182245,0,0,2692324,601438,2e+05,407503,0,0,1008941,21530,0,0,53775,0,0,0,2234774,0
"36",0,0,0,148,0,0,0,0,0,0,148,0,0,0,0,103750,-103750,0,0
"37",211788,1320,0,2081796,0,1700000,441096,900,0,441096,98849,0,27,1936,1,0,0,69223,40
"38",0,0,0,0,0,0,662086,0,-472568,189518,0,0,0,0,0,0,0,0,0
"39",0,952,0,0,850477,0,0,739,0,850477,0,0,26,0,0,0,0,0,10
"40",0,504,7961,7961,0,0,151418,50,0,151418,0,0,12,0,0,0,0,0,16
"41",0,1433,0,0,664375,0,94556,508,0,758931,0,0,215,0,2,0,0,0,25
"42",224305,0,0,2652612,0,8e+05,985032,0,0,985032,118134,0,0,907502,0,0,0,602671,0
"43",273746,2822,0,2664228,0,1e+06,360528,2672,0,360528,0,0,63,3083,14,0,0,1387399,67
"44",339288,7259,0,10425757,4158995,8e+06,1008149,3962,0,5167144,49537,0,2585,1552,411,0,0,2035380,528
"45",216582,0,0,228474,1624396,0,869220,0,0,2493616,11892,0,0,0,0,0,0,0,0
"46",210500,0,875307,1204583,2027865,425000,315068,0,-315068,2027865,52255,0,0,1105,0,0,-775241,415657,0
"47",0,0,0,213071,0,0,0,0,0,0,103773,0,0,0,0,109298,0,0,0
"48",0,653,0,0,0,0,0,12,0,0,0,0,26,0,0,17500,-17500,0,0
"49",272880,0,0,2146973,436515,750000,441096,0,0,877611,0,0,0,819288,0,0,0,304805,0
"50",477,566,0,916197,4046157,0,1757552,465,-560222,5243487,56301,0,29,864523,0,0,-5104,0,39
"51",0,0,0,77492,371750,0,0,0,0,371750,0,0,0,0,0,102492,-25000,0,0
"52",269076,15149,0,1057548,607837,650000,379164,4527,0,987001,137767,0,1215,705,65,0,0,0,74
"53",428780,3187,0,4335388,1835558,1500000,1293424,2103,0,3128982,0,0,92,1852186,23,0,0,554422,28
"54",211844,225,0,2003885,1624396,2e+05,869220,91,0,2493616,22884,0,39,1573324,14,0,-4167,0,13
"55",0,0,0,87492,412878,0,0,0,0,412878,0,0,0,0,0,112492,-25000,0,0
"56",206121,714,0,1208649,17378,6e+05,141833,552,0,159211,41626,0,74,25553,4,0,0,335349,115
"57",174246,0,0,704896,0,0,1034346,0,0,1034346,116335,0,0,465357,0,0,-51042,0,0
"58",510364,6019,0,4677574,3282960,3e+06,2796177,3920,0,6079137,57838,0,556,301026,24,0,0,808346,186
"59",365038,3329,0,2101364,1623010,1100000,1478269,2189,0,3101279,81364,0,2742,540,194,0,0,554422,92
"60",0,58,0,0,0,0,47304,3,0,47304,0,0,16,0,1,0,0,0,0
"61",365163,3093,0,4747979,2291113,3e+06,1323148,2097,0,3614261,86174,0,3069,1661,609,0,0,1294981,66
"62",162779,0,181993,999356,1362375,1e+05,0,0,0,1362375,0,0,0,162,0,0,0,554422,0
"63",0,0,0,0,139130,0,0,0,0,139130,0,0,0,0,0,0,0,0,0
"64",236457,0,204075,875889,2549361,2e+05,514847,0,0,3064208,57727,0,0,2630,0,0,0,175000,0
"65",0,0,0,2151,0,0,0,0,0,0,2151,0,0,0,0,38346,-38346,0,0
"66",1072321,4273,202911,103559793,34348384,7e+06,14761694,2411,0,49110078,99832,81525000,36,10359729,16,0,-3e+05,3600000,123
"67",261516,0,0,1271582,0,750000,417619,0,0,417619,9410,0,0,150656,0,0,-75000,175000,0
